2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | set-type-group] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-set-type-group-14, groupId=set-type-group] Group coordinator 52.78.189.34:8006 (id: 2147483646 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-08-04 00:03:03.547 [kafka-coordinator-heartbeat-thread | set-type-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-set-type-group-dlt-19, groupId=set-type-group-dlt] Node 1 disconnected.
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | classification-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-dlt-26, groupId=classification-group-dlt] Cancelled in-flight METADATA request with correlation id 1626 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:03.551 [kafka-coordinator-heartbeat-thread | color-group-retry] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-color-group-retry-29, groupId=color-group-retry] Node 1 disconnected.
2025-08-04 00:03:03.551 [kafka-coordinator-heartbeat-thread | material-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-dlt-23, groupId=material-group-dlt] Node 1 disconnected.
2025-08-04 00:03:03.551 [kafka-coordinator-heartbeat-thread | material-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-31, groupId=material-group] Node 1 disconnected.
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | material-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-dlt-23, groupId=material-group-dlt] Cancelled in-flight METADATA request with correlation id 1626 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | material-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-31, groupId=material-group] Cancelled in-flight METADATA request with correlation id 1626 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:03.560 [kafka-coordinator-heartbeat-thread | material-group-retry] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-retry-34, groupId=material-group-retry] Node 1 disconnected.
2025-08-04 00:03:03.560 [kafka-coordinator-heartbeat-thread | set-type-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-set-type-group-13, groupId=set-type-group] Node 1 disconnected.
2025-08-04 00:03:03.560 [kafka-coordinator-heartbeat-thread | classification-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-dlt-25, groupId=classification-group-dlt] Node 1 disconnected.
2025-08-04 00:03:03.571 [kafka-coordinator-heartbeat-thread | color-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-color-group-dlt-38, groupId=color-group-dlt] Node 1 disconnected.
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | set-type-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-set-type-group-13, groupId=set-type-group] Cancelled in-flight METADATA request with correlation id 1627 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | color-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-color-group-dlt-38, groupId=color-group-dlt] Cancelled in-flight METADATA request with correlation id 1625 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | classification-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-dlt-25, groupId=classification-group-dlt] Cancelled in-flight METADATA request with correlation id 1626 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:04.000 [kafka-coordinator-heartbeat-thread | color-group-dlt] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-color-group-dlt-38, groupId=color-group-dlt] Group coordinator 52.78.189.34:8006 (id: 2147483646 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-08-04 00:03:03.571 [kafka-coordinator-heartbeat-thread | classification-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-9, groupId=classification-group] Node 1 disconnected.
2025-08-04 00:03:03.576 [kafka-coordinator-heartbeat-thread | color-group-dlt] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-color-group-dlt-39, groupId=color-group-dlt] Node 1 disconnected.
2025-08-04 00:03:03.587 [kafka-coordinator-heartbeat-thread | classification-group-retry] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-retry-17, groupId=classification-group-retry] Node 1 disconnected.
2025-08-04 00:03:03.906 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-set-type-group-36, groupId=set-type-group] Node 1 disconnected.
2025-08-04 00:03:03.999 [kafka-coordinator-heartbeat-thread | material-group-retry] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-material-group-retry-35, groupId=material-group-retry] Cancelled in-flight METADATA request with correlation id 1627 due to node 1 being disconnected (elapsed time since creation: 0ms, elapsed time since send: 0ms, throttle time: 0ms, request timeout: 30000ms)
2025-08-04 00:03:03.906 [org.springframework.kafka.KafkaListenerEndpointContainer#3-retry-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-classification-group-retry-15, groupId=classification-group-retry] Node 1 disconnected.
